,0,1,2,3,4,5,6
44,-7.03660154691,-15.5250649685,-24.1587263254,-26.1464157225,-51.3253709736,-33.9385582629,-52.7830417114
45,-7.25531896485,-16.4892081165,-25.6296924748,-28.5888715941,-55.7735329628,-37.0645939089,-56.681407353
46,-7.1777402832,-16.327179629,-26.6927361737,-29.0410513246,-57.1586756735,-37.6101909776,-57.3731970103
47,-7.03909338305,-18.3842171063,-25.5451862425,-27.3685075209,-55.7002428734,-36.6381146198,-53.8372564399
48,-7.22513079402,-20.3730018729,-26.0184353658,-29.200989604,-57.0086815569,-41.7811207888,-57.3696521423
49,-7.23584583358,-19.8805392513,-25.3670699952,-29.8828366926,-57.8749795212,-40.9469815796,-57.8345642088
50,-7.15862963056,-17.8056230216,-24.6662903048,-27.8702577063,-54.2013934078,-38.0999282715,-55.2064688478
51,-7.19698607428,-21.2019796496,-28.3068167162,-30.2520291197,-60.267471251,-41.2046072394,-59.661782126
52,-7.25441529501,-18.7096698637,-26.6531182737,-30.0539422444,-58.5035686577,-42.0571407926,-59.2793806784
53,-7.18878803441,-16.9120119817,-25.9365477519,-29.146930082,-57.4216279351,-38.0739369768,-56.8199140277
54,-7.26858516349,-22.0075445486,-27.6224973364,-33.218010369,-67.3130140469,-44.3483914008,-63.6385857821
55,-7.24275042131,-22.2753074958,-28.1650470638,-29.8336547224,-60.1311206242,-41.0320891841,-58.8717454263
56,-7.03115132394,-16.376884462,-30.1764444417,-29.532332022,-62.9399056691,-38.544598075,-59.3871303545
57,-6.9600945773,-15.9281394891,-24.5820970883,-26.2755138016,-52.0983949038,-34.3956090973,-52.0075147032
58,-6.99094606907,-15.026561604,-29.3081012651,-29.6020241731,-59.0585598564,-37.6611137055,-61.971488807
59,-7.15077198806,-21.0724558394,-27.3318209007,-30.5092129851,-59.4397481184,-41.1087634988,-61.38983347
60,-6.69210109606,-14.2036761833,-23.4854115255,-24.9053519584,-49.10106181,-32.0247958253,-52.7654055796
61,-7.32704756977,-20.2545177874,-27.0504690859,-32.502215775,-65.0337145378,-43.6221868903,-62.280584728
